pid,Name,Pos,DraftPick,Age,Salary,Team,Season,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,BA,PF,PTS,AtRimFG,AtRimFGA,AtRimFGP,LowPostFG,LowPostFGA,LowPostFGP,MidRangeFG,MidRangeFGA,MidRangeFGP,DD,TD,QD,5x5,PER,EWA,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,On-Off,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ovr,Pot,Hgt,Str,Spd,Jmp,End,Ins,Dnk,FT,2Pt,3Pt,oIQ,dIQ,Drb,Pss,Reb
10,Vincent Dubois Sr.,F,8,20,1,SIN,2026,60,60,34.651782832243924,4.916666666666667,11.416666666666666,43.06569343065693,1.15,3.55,32.3943661971831,3.7666666666666666,7.866666666666666,47.88135593220339,48.1021897810219,1.9333333333333333,3.283333333333333,58.88324873096447,1.7833333333333334,5.883333333333334,7.666666666666667,2.4833333333333334,2.3333333333333335,1.0333333333333334,1.2,0.4666666666666667,3.1333333333333333,12.916666666666666,2.5833333333333335,3.95,65.40084388185655,0.5,2.1,23.809523809523807,0.6833333333333333,1.8166666666666667,37.61467889908257,14,0,0,0,13.98711165888948,2.4718506149134845,50.21511507360563,0.310948905109489,0.2875912408759124,5.184176119735427,16.55383886209207,10.961753323004071,11.463101134025086,1.4226961746656146,2.438571622496522,15.356265356265355,18.225285903807226,5.438370858606061,3.8991772321760205,96.4438244394466,95.46897399871634,1.8682565732510532,2.5352278712707896,4.403484444521843,0.10166251972292392,-0.17440584964148442,0.6136679068552633,0.43926205721377887,1.2862544053733025,49,74,60,44,58,55,22,30,44,39,46,44,40,41,58,51,48
11,Amir Boone,FC,7,24,1,BAL,2026,60,60,38.19062061052223,10.1,23.1,43.722943722943725,2.35,8.05,29.19254658385093,7.75,15.05,51.49501661129568,48.80952380952381,5.566666666666666,7.55,73.73068432671081,4.116666666666666,10.116666666666667,14.233333333333333,9.1,3.066666666666667,1.8833333333333333,0.9333333333333333,0.9,2.5166666666666666,28.116666666666667,4.716666666666667,7.566666666666666,62.33480176211453,2.95,7.133333333333334,41.35514018691589,0.08333333333333333,0.35,23.809523809523807,55,22,0,0,34.54718123699748,21.42977752928602,53.20692352332652,0.3484848484848485,0.3268398268398268,10.988382448361643,26.730405924658598,18.899446711585803,47.20802419856236,2.3152683449064595,1.7529948335115901,10.399475504713676,31.51083886032324,-1.6801062318537774,12.203248696181799,113.37054323472648,92.0984639582391,12.163546783818989,3.831153059679165,15.994699843498154,0.3350498020258161,11.14816666068334,3.363914843616241,14.512081504299582,9.579643450061631,62,68,62,53,40,46,62,65,44,41,36,44,69,63,56,59,74
12,Zach West,SG,1,25,1,NYC,2026,60,60,36.50444555950521,8.383333333333333,19.633333333333333,42.69949066213922,2.316666666666667,6.766666666666667,34.23645320197045,6.066666666666666,12.866666666666667,47.15025906735752,48.59932088285229,4.25,5.083333333333333,83.60655737704919,1.4,5.066666666666666,6.466666666666667,1.9666666666666666,2.2333333333333334,2.3333333333333335,0.2,0.75,1.8333333333333333,23.333333333333332,1.5333333333333334,2.8,54.761904761904766,1.5833333333333333,3.7666666666666666,42.0353982300885,2.95,6.3,46.82539682539682,8,0,0,0,22.37300936984761,10.35027162194859,53.3455265965554,0.34465195246179964,0.25891341256366723,3.821924679060965,14.059589726186916,8.89893812933914,8.80492723615088,3.0580142820606695,0.4058879250476727,9.265661734199972,27.54729689148225,14.722154465484738,6.175700224908439,104.97978653529445,91.48840771394637,6.012505772114176,3.8414121118287983,9.853917883942975,0.21594998051139366,3.5236031850241245,0.9064523852238313,4.430055570247956,3.5657532645444356,63,66,34,62,64,59,63,48,72,60,64,46,54,72,66,51,58
13,Kaleo Gates,PG,4,23,1,SIN,2026,60,60,37.478480356194595,4.35,11.8,36.86440677966102,1.6,4.75,33.68421052631579,2.75,7.05,39.00709219858156,43.64406779661017,2.683333333333333,3.7666666666666666,71.23893805309734,0.3333333333333333,2.2,2.533333333333333,9.266666666666667,2.316666666666667,1.9166666666666667,0.06666666666666667,0.5333333333333333,1.5666666666666667,12.983333333333333,0.8666666666666667,1.8,48.148148148148145,1.1166666666666667,3.0166666666666666,37.01657458563536,0.7666666666666667,2.2333333333333334,34.32835820895522,17,0,0,0,17.15010871666643,5.50439949196523,48.23887843059546,0.4025423728813559,0.3192090395480226,0.8959207102858081,5.723234752993058,3.348955615381249,37.98023169158459,2.439843248973856,0.12525833118176982,14.686615105025147,17.49317416146731,7.213449602454016,12.986856021920337,106.49998282528466,98.79812255003618,5.005220298048638,1.7368499217845337,6.742070219833171,0.14391341710243735,3.0214873725121465,1.7234940408925863,4.744981413404733,3.8468527381285766,56,65,28,37,84,70,49,25,33,44,43,54,50,45,74,67,44
14,Terence Griffin,SF,2,21,1,BAL,2026,60,60,36.5305584374707,6.15,14.783333333333333,41.60090191657272,0.9,2.9833333333333334,30.16759776536313,5.25,11.8,44.49152542372881,44.64487034949267,3.4833333333333334,5.066666666666666,68.75,0.7333333333333333,3.65,4.383333333333334,2.6666666666666665,2.5,2.0166666666666666,1.0833333333333333,0.7,1.6333333333333333,16.683333333333334,3.05,5.716666666666667,53.352769679300295,1.4666666666666666,4.083333333333333,35.91836734693877,0.7333333333333333,2,36.666666666666664,3,0,0,0,15.515091498529015,4.375023117761831,49.03209373408049,0.20180383314543404,0.342728297632469,2.0463970184057483,10.082341010923097,6.084814915329715,12.149123498716802,2.5918428488676177,2.127190429424848,12.81219037206601,21.798261523256947,-2.1420188823843946,8.550228001173444,94.94837282626145,96.16995539888433,1.8042368486705411,2.4663868198904995,4.270623668561041,0.09352441027412293,0.2161075095735301,1.260031488587237,1.476138998160767,1.9290534041391951,55,64,51,46,76,66,47,33,57,40,34,40,35,49,46,50,40
15,Travis Davis,GF,5,20,1,TOR,2026,60,60,33.65000268414892,6,15.766666666666667,38.05496828752643,0.3,1.2,25,5.7,14.566666666666666,39.130434782608695,39.00634249471459,2.6166666666666667,3.7666666666666666,69.46902654867256,1.4666666666666666,4.466666666666667,5.933333333333334,2.5166666666666666,3.783333333333333,1.5833333333333333,0.15,0.7,1.7666666666666666,14.916666666666666,2.4166666666666665,4.35,55.55555555555556,2.15,6.916666666666667,31.08433734939759,1.1333333333333333,3.3,34.34343434343434,3,0,0,0,10.653952252699584,0.12371328278380378,42.804943373125184,0.07610993657505286,0.23890063424947147,4.297414544435417,14.243227683373224,9.060048347273788,12.468678634718808,2.263286607523895,0.3233762621898977,17.839740970104682,26.349970473558887,-19.48808888460603,-8.761776030431287,79.24374356047437,104.75633671986432,-3.4227567782856667,-0.05579721778551875,-3.4785539960711853,-0.08269964264127166,-3.1285520307174948,-1.9377409411858628,-5.066292971903358,-1.5728775416918603,45,67,35,58,52,53,48,51,51,38,32,32,36,56,45,47,57
16,Ricardo Guyton,F,1,23,1,PHI,2026,60,60,36.480642354916064,8.683333333333334,20.783333333333335,41.780272654370485,2.533333333333333,7.566666666666666,33.480176211453745,6.15,13.216666666666667,46.53215636822195,47.87489975942261,3.2666666666666666,4.333333333333333,75.38461538461539,2.1666666666666665,6.533333333333333,8.7,1.7833333333333334,1.85,1.15,1.0666666666666667,0.95,2.816666666666667,23.166666666666668,2.6166666666666667,4.316666666666666,60.61776061776062,0.8666666666666667,2.6,33.33333333333333,2.6666666666666665,6.3,42.32804232804233,23,0,0,0,21.380463370358626,9.043247085190679,51.05038930512708,0.3640737770649559,0.20850040096230954,5.9145788266443535,17.250180321401963,11.67681080034807,8.736471557958168,1.4921184059264168,2.1243451949583756,7.538712306438468,28.171376708160313,3.0491115237609563,9.760532587459714,101.3801489101968,93.11266944816887,4.7863941052285,3.361542398652449,8.147936503880949,0.17867967180206076,3.9386687146692996,-0.27870490008490734,3.6599638145843922,3.1475474948432014,56,62,56,59,59,72,53,38,66,46,60,50,40,39,56,45,48
17,Chris Stone,F,3,21,1,LAE,2026,60,60,33.81419585712846,5.916666666666667,14.083333333333334,42.01183431952663,1.6833333333333333,4.983333333333333,33.77926421404682,4.233333333333333,9.1,46.52014652014652,47.98816568047337,2.15,3.0166666666666666,71.27071823204419,1.7666666666666666,5.816666666666666,7.583333333333333,1.6166666666666667,2.3666666666666667,1.1666666666666667,1.8166666666666667,0.8,2.8666666666666667,15.666666666666666,1.9166666666666667,3.4166666666666665,56.09756097560976,0.65,1.8333333333333333,35.45454545454545,1.6666666666666667,3.85,43.290043290043286,11,0,0,0,16.469321385338425,4.416494436523336,50.83059352829209,0.35384615384615387,0.21420118343195266,5.281280549217082,16.9554370784443,11.191939665724458,7.827009323479893,1.6404126021158842,3.828036588778489,13.312832820820523,21.975869617582116,6.210133419234937,12.172946610180007,95.60292922813005,93.8034001343279,1.8866869581540429,2.927674824557455,4.814361782711497,0.11390155313592219,0.45322441254324897,0.3624080298280363,0.8156324423712853,1.4463247899614662,52,64,57,51,66,69,35,34,61,44,54,50,37,32,54,45,43
18,Evan Mandell,F,6,18,1,CAI,2026,60,0,24.906946517386665,4.533333333333333,10.366666666666667,43.729903536977496,1.1,3.5166666666666666,31.27962085308057,3.433333333333333,6.85,50.121654501216554,49.035369774919616,1.4333333333333333,1.8333333333333333,78.18181818181819,1.7833333333333334,4.8,6.583333333333333,0.8833333333333333,2.2333333333333334,0.6,1.05,0.4,2.35,11.6,1.75,2.716666666666667,64.41717791411043,0.43333333333333335,1.3333333333333333,32.5,1.25,2.8,44.642857142857146,5,0,0,0,15.698859087207692,2.794847330813572,51.909307875894996,0.3392282958199357,0.17684887459807075,7.093596578076988,19.178664031050776,13.122612332021406,5.9908411824115095,1.1580490393628842,3.074385657720183,16.658378915962206,22.586328711188457,1.3510572116859614,4.358646017449458,93.46013494754648,96.13179041932236,0.9695604144746918,1.6892683725520914,2.658828787026783,0.08540039334555115,-0.32882128436828584,-0.9227055693663653,-1.2515268537346511,0.2836870704040121,36,69,59,37,58,57,21,30,50,54,47,48,23,23,44,39,45
19,Gerald Ware,F,9,22,1,NYC,2026,60,60,33.66862469019828,4.883333333333334,9.566666666666666,51.045296167247386,0.13333333333333333,0.43333333333333335,30.76923076923077,4.75,9.133333333333333,52.00729927007299,51.742160278745644,1.6166666666666667,2.966666666666667,54.49438202247191,2.033333333333333,6.55,8.583333333333334,1.15,2.15,1.2,1.4,0.5,3.5166666666666666,11.516666666666667,3.066666666666667,5,61.33333333333333,1.4166666666666667,3.55,39.906103286384976,0.26666666666666666,0.5833333333333334,45.714285714285715,18,0,0,0,13.907405553488118,2.337632152897663,52.964802550895264,0.04529616724738676,0.31010452961672474,6.01842771341465,19.70661330028982,12.806606659939048,4.904140765551467,1.7051569137423808,3.0805236803253657,16.5105206573491,16.13615117394684,13.759668977693167,1.7700779136565727,97.27628825747627,90.51389441243728,1.7773843438296266,3.8073240343302066,5.584708378159833,0.13269822404799736,-1.8405657415562744,0.7646750844985504,-1.075890657057724,0.47264987047379786,54,62,57,56,58,63,55,36,58,26,29,21,39,51,49,48,51
20,Nemanja Guzonjic Sr.,F,9,22,1,CAI,2026,60,60,35.955541717131844,6.7,16.516666666666666,40.56508577194753,2.0166666666666666,5.8,34.770114942528735,4.683333333333334,10.716666666666667,43.701399688958006,46.67003027245207,3.0833333333333335,4.433333333333334,69.54887218045113,2.1,5.883333333333334,7.983333333333333,4.383333333333334,1.9666666666666666,0.8666666666666667,0.8166666666666667,0.9833333333333333,2.8333333333333335,18.5,2.95,5.216666666666667,56.54952076677316,1.1333333333333333,3.533333333333333,32.075471698113205,0.6,1.9666666666666666,30.508474576271187,16,0,0,0,19.937642202358106,7.674215332768596,50.08844446048879,0.3511604439959637,0.2684157416750757,5.78639271387345,16.283779794697185,11.02334421057075,20.74487780704268,1.158730518102675,1.6564126092517193,9.624482072363055,23.846951790508765,-1.804945613900203,-4.183240555062631,104.7161328378918,98.15114542751718,5.390512356096095,1.853680393735663,7.2441927498317575,0.16118111209277305,3.973066558616857,-0.462321465974437,3.51074509264242,3.0152198937137995,53,62,57,42,61,53,44,37,51,44,45,50,48,36,59,43,46
21,Andrey Maksimenko,FC,3,20,1,MON,2026,60,60,33.87877770244422,6.116666666666666,12.3,49.728997289972895,0.38333333333333336,1.2833333333333334,29.87012987012987,5.733333333333333,11.016666666666667,52.04236006051437,51.28726287262872,2.05,3.4833333333333334,58.85167464114832,2.4,7.35,9.75,2.15,3.183333333333333,1.0666666666666667,0.9666666666666667,0.48333333333333334,2.8666666666666667,14.666666666666666,4.133333333333334,6.333333333333333,65.26315789473685,1.4666666666666666,4.016666666666667,36.51452282157676,0.13333333333333333,0.6666666666666666,20,25,0,0,0,16.242226351130558,4.200747040733737,53.014603113403055,0.1043360433604336,0.28319783197831977,7.286122361146673,20.341263566944352,14.115545939902105,10.431537153865689,1.4873184160310882,2.047202269569054,18.7078827769942,20.810937288330326,3.160551632511229,-2.77017409143207,94.91930044503518,89.81855814969884,1.6550838458541082,4.020870418192491,5.675954264046599,0.13402972949964723,-0.24615899932707963,0.7499609994582053,0.5038020001311256,1.2908344462286419,46,64,65,56,35,45,45,51,52,29,27,36,38,48,42,40,52
22,Jeff Wofford,PF,11,20,1,MON,2026,60,0,28.122324326342852,5.566666666666666,12.3,45.25745257452575,0.3,1.1,27.27272727272727,5.266666666666667,11.2,47.023809523809526,46.476964769647694,2.55,3.7666666666666666,67.69911504424779,1.6166666666666667,5.316666666666666,6.933333333333334,1.2,3.933333333333333,0.85,0.6833333333333333,0.5833333333333334,2.566666666666667,13.983333333333333,3.0833333333333335,5.116666666666666,60.26058631921825,1.7333333333333334,4.866666666666666,35.61643835616438,0.45,1.2166666666666666,36.986301369863014,3,0,0,0,12.62229628729672,0.7537093774712555,50.09314100114635,0.08943089430894309,0.3062330623306233,5.912650702683533,17.72582842944397,12.092376623329887,7.220536331567006,1.427810851244086,1.7433843303638366,21.985392755999403,26.359502451110668,4.619388045404955,1.5428391168471516,83.85374991473246,91.03827657699398,-1.514529618414592,3.0613318697261938,1.5468022513116018,0.044002116848148996,-2.8466295101651813,-0.4380685178558168,-3.284698028020998,-0.5497878031009331,42,65,58,59,45,45,39,63,62,35,27,32,29,42,37,44,54
23,Quentin Leblanc,FC,33,21,1,CAI,2026,60,60,31.918203061917023,7.033333333333333,14.833333333333334,47.41573033707866,0.36666666666666664,1.1166666666666667,32.83582089552239,6.666666666666667,13.716666666666667,48.60267314702308,48.651685393258425,2.9833333333333334,4.55,65.56776556776556,4.266666666666667,9.316666666666666,13.583333333333334,3.8,4.466666666666667,0.7,1.15,0.6166666666666667,3.033333333333333,17.416666666666668,3.7666666666666666,6.033333333333333,62.430939226519335,2.5833333333333335,6.766666666666667,38.17733990147783,0.31666666666666665,0.9166666666666666,34.54545454545455,46,1,0,0,22.0452638578943,8.380873182940357,51.726527541282216,0.07528089887640449,0.30674157303370786,13.243559541576351,29.048233456383556,21.128217892811268,21.503591714388445,1.0542795805462974,2.627537612536587,20.968297186492663,28.0044642094986,-1.4308080014228526,-2.025575152978815,95.26977454870568,93.29254473224074,2.340391528435856,2.894879015304116,5.235270543739972,0.1312171749414402,1.8265873353182682,-0.14443900715991997,1.6821483281583482,1.7884736397359937,46,63,62,56,40,43,35,67,50,36,34,31,47,38,48,47,64
24,Broderick Nunez,PG,4,20,1,LAE,2026,60,60,32.325480493775565,3.0833333333333335,7.416666666666667,41.57303370786517,0.21666666666666667,0.65,33.33333333333333,2.8666666666666667,6.766666666666667,42.364532019704434,43.033707865168545,1.3,1.95,66.66666666666666,0.7666666666666667,3.6666666666666665,4.433333333333334,10.416666666666666,3.65,1.0333333333333334,0.15,0.36666666666666664,2.533333333333333,7.683333333333334,1.25,2.3333333333333335,53.57142857142857,0.7666666666666667,2.316666666666667,33.093525179856115,0.85,2.1166666666666667,40.15748031496063,9,0,0,0,14.138914225857716,2.423090401900854,46.42684498872059,0.08764044943820225,0.26292134831460673,2.3974263793071002,11.180476630112846,6.8443100497202325,46.6728857481409,1.5198503269880712,0.33063297619174487,30.60882204953318,15.419836781550497,4.216358969470417,4.9666982480540485,96.50491651907215,98.45617697611962,1.8275486765345748,1.587096555457636,3.4146452319922105,0.08450659182374022,-0.023837650072077388,0.5191137529016379,0.49527610282956047,1.225333768077957,39,64,32,36,57,67,29,28,25,39,38,35,39,35,68,74,46
